,dia_semana,horario,mortos,causa_acidente,municipio,tipo_veiculo
0,segunda-feira,07:23:00,0,Reação tardia ou ineficiente do condutor,BALNEARIO CAMBORIU,Caminhão
1,segunda-feira,17:25:00,0,Manobra de mudança de faixa,PAULO LOPES,Caminhão-trator
2,segunda-feira,17:15:00,0,Trafegar com motocicleta (ou similar) entre as faixas,PAULO LOPES,Caminhão-trator
3,segunda-feira,17:15:00,0,Trafegar com motocicleta (ou similar) entre as faixas,PAULO LOPES,Caminhão-trator
4,segunda-feira,22:30:00,0,Reação tardia ou ineficiente do condutor,GARUVA,Caminhão-trator
5,terça-feira,06:10:00,0,Manobra de mudança de faixa,PAULO LOPES,Caminhão-trator
6,terça-feira,06:55:00,0,Transitar na contramão,JOINVILLE,Caminhão-trator
7,segunda-feira,04:15:00,0,Acessar a via sem observar a presença dos outros veículos,CORUPA,Caminhão
8,terça-feira,08:50:00,0,Ausência de reação do condutor,INDAIAL,Caminhão
9,terça-feira,08:50:00,0,Ausência de reação do condutor,INDAIAL,Caminhão
10,terça-feira,10:15:00,0,Manobra de mudança de faixa,CHAPECO,Caminhão-trator
11,terça-feira,12:45:00,0,Transitar na contramão,CONCORDIA,Caminhão
12,terça-feira,12:45:00,0,Transitar na contramão,CONCORDIA,Caminhão
13,terça-feira,20:55:00,0,Pista Escorregadia,RANCHO QUEIMADO,Caminhão
14,quarta-feira,00:24:00,0,Chuva,PONTE ALTA,Caminhão
15,terça-feira,23:40:00,0,Chuva,CURITIBANOS,Caminhão-trator
16,quarta-feira,07:00:00,0,Avarias e/ou desgaste excessivo no pneu,ITAPEMA,Caminhão
17,quarta-feira,10:00:00,0,Afundamento ou ondulação no pavimento,CUNHA PORA,Caminhão-trator
18,quarta-feira,10:40:00,0,Ausência de reação do condutor,PONTE ALTA,Caminhão-trator
19,quarta-feira,12:30:00,0,Condutor deixou de manter distância do veículo da frente,SAO JOSE,Caminhão
20,quarta-feira,13:30:00,0,Frear bruscamente,SAO JOSE,Caminhão-trator
21,quarta-feira,16:10:00,0,Acessar a via sem observar a presença dos outros veículos,ITAJAI,Caminhão-trator
22,quarta-feira,13:45:00,0,Velocidade Incompatível,BRUNOPOLIS,Caminhão-trator
23,quarta-feira,13:45:00,0,Velocidade Incompatível,BRUNOPOLIS,Caminhão-trator
24,quarta-feira,20:45:00,1,Mal súbito do condutor,NAVEGANTES,Caminhão-trator
25,quarta-feira,18:15:00,0,Acessar a via sem observar a presença dos outros veículos,ARAQUARI,Caminhão-trator
26,quinta-feira,06:50:00,0,Ausência de reação do condutor,IMBITUBA,Caminhão
27,quinta-feira,15:20:00,0,Acessar a via sem observar a presença dos outros veículos,PORTO BELO,Caminhão
28,quinta-feira,15:45:00,0,Acessar a via sem observar a presença dos outros veículos,ITAJAI,Caminhão
29,sexta-feira,02:35:00,0,Condutor Dormindo,BARRA VELHA,Caminhão
30,sexta-feira,02:35:00,0,Condutor Dormindo,BARRA VELHA,Caminhão-trator
31,sexta-feira,02:35:00,0,Condutor Dormindo,BARRA VELHA,Caminhão
32,sexta-feira,11:45:00,0,Demais falhas mecânicas ou elétricas,RIO NEGRINHO,Caminhão-trator
33,sexta-feira,17:51:00,0,Reação tardia ou ineficiente do condutor,PALHOCA,Caminhão-trator
